,coords,category,lat,long,address
117,122.890266/11.477714,Medical Response,122.890266,11.477714,"Manapao, Capiz, Western Visayas, 5803, Pilipinas / Philippines"
118,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
119,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
120,126.124962/9.84158,Medical Response,126.124962,9.84158,"Dapa, Surigao del Norte, Caraga, 8417, Pilipinas / Philippines"
121,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
122,122.644096/10.77604,Medical Response,122.644096,10.77604,"Leganes, Iloilo, Western Visayas, 5003, Pilipinas / Philippines"
123,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
124,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
125,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
126,125.149437/10.62223,Medical Response,125.149437,10.62223,"Bagacay - Bulak Road, Bito, Bagacay, Abuyog, Leyte 5th District, Leyte, Eastern Visayas, 6510, Pilipinas / Philippines"
127,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
128,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
129,125.149437/10.62223,Medical Response,125.149437,10.62223,"Bagacay - Bulak Road, Bito, Bagacay, Abuyog, Leyte 5th District, Leyte, Eastern Visayas, 6510, Pilipinas / Philippines"
130,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
131,122.650482/10.84919,Medical Response,122.650482,10.84919,"Pelobello store, Banga Bante-Banga-Polot-an-Barotac Nuevo Road, Zarraga, Iloilo, Western Visayas, 5004, Pilipinas / Philippines"
132,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
133,124.552177/11.33877,Food & Clothes,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
134,122.650482/10.84919,Medical Response,122.650482,10.84919,"Pelobello store, Banga Bante-Banga-Polot-an-Barotac Nuevo Road, Zarraga, Iloilo, Western Visayas, 5004, Pilipinas / Philippines"
135,125.149437/10.62223,Medical Response,125.149437,10.62223,"Bagacay - Bulak Road, Bito, Bagacay, Abuyog, Leyte 5th District, Leyte, Eastern Visayas, 6510, Pilipinas / Philippines"
136,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
137,122.650482/10.84919,Medical Response,122.650482,10.84919,"Pelobello store, Banga Bante-Banga-Polot-an-Barotac Nuevo Road, Zarraga, Iloilo, Western Visayas, 5004, Pilipinas / Philippines"
138,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
