relief packs
relief goods
bigas
rice
tubig
inomin
inumin
makain
pagkain
food
foods
water
delata
canned foods
damit
maisuot
maisusuot
clothes
tulong
help
gamot
medicine
naaksidente
accident
sugat
wound
saklolo
matutuloyan
tirahan
matitirhan
matitirahan
